Date,open,high,low,Close,adjusted_close,volume
14-11-2017,1378.28,1378.28,1353.75,1357.3,1331.3727,1657252
13-11-2017,1351.03,1388.7,1351.03,1379.47,1353.1191,1496996
10-11-2017,1361.1,1363,1346.6801,1354.38,1328.5084,1356566
09-11-2017,1375,1375,1359.65,1368.2,1342.0645,1152432
08-11-2017,1361.5,1379.5,1359.12,1367.5,1341.3777,1402252
07-11-2017,1335,1384,1333.03,1355.03,1329.146,2696892
06-11-2017,1310,1335.9,1305.88,1332.78,1307.321,1377000
03-11-2017,1316.2,1318.35,1301.4,1310.05,1285.0253,666886
02-11-2017,1304.25,1337,1303.38,1313.0699,1287.9874,1468422
01-11-2017,1312,1313.4301,1289.4301,1301.4301,1276.5698,741882
31-10-2017,1300.65,1320,1300.65,1312,1286.938,1592634
30-10-2017,1293,1310,1290.85,1308.1,1283.1124,1137252
27-10-2017,1269,1296.5699,1265.15,1292.15,1267.4672,1409270
26-10-2017,1267.55,1284.5699,1258.95,1269.4301,1245.1813,3007552
25-10-2017,1289.25,1307,1277.5,1279.95,1255.5001,1105106
24-10-2017,1310,1310.45,1284.53,1289.2,1257.7072,1339020
23-10-2017,1292,1314.5,1273.72,1293.95,1262.3412,1886088
19-10-2017,1296,1297.9,1285.5,1291.95,1260.39,86822
18-10-2017,1297.5,1306.8199,1290,1293.3,1261.7072,1514144
17-10-2017,1292.5,1307.47,1288.78,1297.28,1265.59,1443016
16-10-2017,1277.53,1295,1277.53,1292.2,1260.634,1218590
13-10-2017,1274.1,1304.47,1261.5,1279.3,1248.0491,4066320
12-10-2017,1256.5,1277.5,1253.5,1274.1,1242.9761,5006356
11-10-2017,1230,1257.22,1228.38,1250.1801,1219.6404,1527746
10-10-2017,1227.5,1234.97,1225.62,1229.62,1199.5828,1222010
09-10-2017,1220.53,1233.97,1220.53,1227.05,1197.0754,1773616
06-10-2017,1215,1227.5,1214.03,1223.3199,1193.4366,1389188
05-10-2017,1220.5,1221.72,1212.2,1214.8,1185.1248,1684686
04-10-2017,1224.8,1227,1212.5,1221.15,1191.3196,1300778
03-10-2017,1220,1227.15,1213.53,1224.22,1194.3146,1923006
29-09-2017,1239.5,1242,1210.75,1217.97,1188.2172,1985014
28-09-2017,1247.35,1257,1226,1238.22,1207.9727,4332866
27-09-2017,1245,1256.1,1236.88,1247.5,1217.0259,2010356
26-09-2017,1255,1263.2,1233,1237.3199,1207.0944,1449230
25-09-2017,1248.28,1267,1246.38,1255.38,1224.7134,1599558
22-09-2017,1259.95,1263.45,1246,1251.8,1221.2209,2435396
21-09-2017,1245.53,1270.5,1240,1262.45,1231.6106,2438740
20-09-2017,1257,1257,1237.15,1246.78,1216.3236,1334642
19-09-2017,1252.5,1252.5,1245.75,1249.12,1218.6063,782754
18-09-2017,1252.47,1259.47,1244.62,1249.53,1219.0061,726600
15-09-2017,1249.5,1258.5,1242.5,1253.03,1222.4209,2944072
14-09-2017,1241,1248.8,1235.95,1243.47,1213.0942,1081510
13-09-2017,1250,1265.8199,1237.6,1244.6,1214.1967,1278980
12-09-2017,1236.95,1248.5,1228.5,1244.22,1213.826,1396460
11-09-2017,1235.6,1241.47,1225,1227.22,1197.2411,732764
08-09-2017,1226.88,1237,1226.28,1235.3,1205.1239,1021134
07-09-2017,1229,1234.2,1225.53,1230.05,1200.0022,870636
06-09-2017,1234.0699,1237.4301,1225,1226.6,1196.6362,1228764
05-09-2017,1230,1245,1218.53,1242.1801,1211.8358,1165994
04-09-2017,1226.55,1230.5,1219,1228.1,1198.0997,1062544
01-09-2017,1240,1249.03,1218.28,1228.22,1198.2168,1702330
31-08-2017,1242.5,1252.2,1233.3199,1248.1801,1217.6893,1784664
30-08-2017,1240.5,1245,1230.05,1242.28,1211.9334,970782
29-08-2017,1241,1248,1231.97,1235.4301,1205.2509,1312602
28-08-2017,1252.3,1252.7,1230.5,1243.65,1213.2698,2036796
24-08-2017,1248.85,1258.97,1243.0699,1248.3,1217.8063,1623908
23-08-2017,1252.5,1258.4,1236.5699,1244.72,1214.3138,1562272
22-08-2017,1261.5,1269.75,1246,1248.78,1218.2747,1131326
21-08-2017,1252.75,1274.5,1247.15,1264.4,1233.5129,2304834
